Date,Sales_Brot,Sales_Broetchen,Sales_Croissant,Sales_Konditorei,Sales_Kuchen,Sales_Saisonbrot,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,holiday,holiday_1_weihnachtstag,holiday_2_weihnachtstag,holiday_christi_himmelfahrt,holiday_karfreitag,holiday_neujahr,holiday_ostermontag,holiday_ostersonntag,holiday_pfingstmontag,holiday_pfingstsonntag,holiday_reformationstag,holiday_tag_der_arbeit,holiday_tag_der_deutschen_einheit,school_holiday,school_holiday_herbstferien,school_holiday_osterferien,school_holiday_pfingstferien,school_holiday_sommerferien,school_holiday_weihnachtsferien,KielerWoche,weekday,month,dayofmonth,dayofyear,year
2013-08-19,145.87913275728002,499.912512856933,249.391160860983,107.40799933316099,374.247117082749,0.0,5.0,18.4875,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,231,13
2013-08-20,111.842396126739,478.730297151576,257.620799680939,64.50225653298929,340.090359959321,0.0,7.0,17.775,8,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,20,232,13
2013-08-21,125.33652271302401,440.81563645639704,271.133442105753,65.9210119267558,352.69532419864305,0.0,5.0,20.125,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,21,233,13
2013-08-22,132.91642822030198,497.731338188322,229.323435589195,111.14430137752599,343.34893355610296,0.0,4.0,21.6625,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,22,234,13
2013-08-23,162.958958703106,503.672089526472,260.926195756112,94.2272902889274,375.317567662845,0.0,1.0,22.0375,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,23,235,13
2013-08-24,201.543109556297,707.94429725517,282.401869590288,124.737464409769,536.196771958902,0.0,0.0,20.85,16,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,24,236,13
2013-08-25,83.02267257395509,726.2576495237751,360.817001197227,141.066888354584,495.19433493683897,0.0,0.0,21.3875,16,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,25,237,13
2013-08-26,165.829031676714,451.536740815421,244.936370498996,104.44885886900299,368.72576849632003,0.0,0.0,20.125,15,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,238,13
2013-08-27,118.473650434102,442.318352086176,251.05304319583098,89.3398068106772,305.77200439049,0.0,1.0,21.0875,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,27,239,13
2013-08-28,108.876991442649,418.297941202801,225.87819471871398,87.51604589107279,349.39097309953104,0.0,0.0,21.3,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,28,240,13
2013-08-29,178.178023803315,386.39026768634596,198.776407298801,67.1751319746152,396.45461276133204,0.0,3.0,20.2125,11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,29,241,13
2013-08-30,133.150828452892,492.14126519851897,184.252334847289,77.9353068130843,343.34568660928903,0.0,6.0,19.7875,8,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,30,242,13
2013-08-31,130.821314898435,581.490537751984,265.410807550213,86.00772800210258,344.096618940689,0.0,5.0,18.35,16,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,31,243,13
2013-09-01,95.97043148924709,481.58482961300103,239.54508407073502,139.776992842103,400.37525160154405,0.0,7.0,15.8625,16,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,1,244,13
2013-09-02,138.40872321046498,350.023432755307,165.884794599896,97.55772910945309,236.082416986532,0.0,7.0,16.575,17,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,245,13
2013-09-03,138.825618927843,357.40128567680296,174.655491296255,66.70421853860371,270.350123886175,0.0,7.0,18.225,11,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,246,13
2013-09-04,100.221969526295,362.24937167953595,162.83743839423,102.369988965095,308.670506473354,0.0,7.0,18.125,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,4,247,13
2013-09-05,173.658100347255,400.95010523182,155.795527807677,64.7180977987766,309.022150561535,0.0,0.0,21.7,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,248,13
2013-09-06,171.415179710314,395.67329699400904,183.372780096599,79.67169529264379,307.019415636833,0.0,0.0,24.7,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,6,249,13
2013-09-07,186.03406096376702,591.5235477326651,215.339022862711,65.01281972346621,447.991745678441,0.0,6.0,22.7625,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,250,13
2013-09-08,88.8925958109828,576.040699297842,261.72392535389497,115.868951321453,453.792300083562,0.0,7.0,20.1625,8,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,8,251,13
2013-09-09,169.359968504942,331.981293986457,155.698998919682,78.43214464102451,266.74018548109797,0.0,8.0,11.575,11,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,252,13
2013-09-10,89.6944536084346,363.66782913598297,186.63188548015597,75.320737395332,272.085784886284,0.0,6.0,13.5875,11,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,10,253,13
2013-09-11,103.363686559795,350.81380789681,156.993834222857,84.17436827210351,266.283742487977,0.0,6.0,13.9,8,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,254,13
2013-09-12,106.47439998754801,354.282593212868,128.957531070768,79.9069125959926,291.297115676725,0.0,6.0,16.1125,6,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,255,13
2013-09-13,122.56462619991501,413.04186436601304,142.450922270702,60.042380103052395,306.313400312796,0.0,6.0,17.4375,5,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,13,256,13
2013-09-14,174.938807466572,530.825102628704,230.52424993658298,68.6316728927997,383.083373412478,0.0,5.0,17.625,10,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,14,257,13
2013-09-15,55.19600622963039,494.90818507844705,199.525819245624,150.947116904365,368.235519264474,0.0,7.0,14.8625,10,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,258,13
2013-09-16,146.76023489065798,363.701917843028,150.458078596152,68.5094924358894,230.653426038182,0.0,3.0,13.1375,13,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,259,13
2013-09-17,136.118044538363,321.054881338889,121.601419092438,88.04324018607149,320.526447004404,0.0,5.0,13.1375,10,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,17,260,13
2013-09-18,152.255085210606,327.413713418182,123.430475306719,81.9233275996418,273.5407716877,0.0,4.0,13.05,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,18,261,13
2013-09-19,148.674992078993,362.27375701650396,127.595436733938,56.2795004974713,300.262376130314,0.0,5.0,14.8375,11,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,19,262,13
2013-09-20,110.159250328825,375.16829079452003,119.995567870545,87.49526615914971,377.403500794794,0.0,7.0,13.525,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,20,263,13
2013-09-21,178.26388794382703,525.014097788583,227.17812505778,48.2782247656494,320.960054511642,0.0,7.0,15.35,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,21,264,13
2013-09-22,86.6668973821597,500.579617827733,216.02559752698602,181.071825652617,359.99538027315003,0.0,6.0,17.1375,14,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,22,265,13
2013-09-23,111.128410563554,339.417738661045,115.173949077037,72.86389898177659,293.881781699553,0.0,7.0,17.3125,14,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,266,13
2013-09-24,139.64144576808002,314.00466178787,107.51531125466299,91.9109696976559,261.60183382659903,0.0,8.0,15.7375,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,24,267,13
2013-09-25,117.94119333603999,333.964687913619,133.455357081465,83.2754466610357,298.284260355615,0.0,6.0,13.5375,7,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,25,268,13
2013-09-26,203.314345156607,348.862509645868,111.331440019646,52.941881720673294,287.793533580575,0.0,1.0,12.9875,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,26,269,13
2013-09-27,135.507291692088,337.894647078396,102.187864090432,93.9440670728549,283.206061885802,0.0,5.0,13.0125,8,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,27,270,13
2013-09-28,134.613756840197,578.1568741495851,247.995826181906,98.4375774152303,290.84887886944,0.0,0.0,13.1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,28,271,13
2013-09-29,68.6316896995448,503.155199518292,194.986111359586,148.939102156167,304.83046397693903,0.0,3.0,14.175,12,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,29,272,13
2013-09-30,156.502435955326,360.82710605936796,141.99286533231302,98.18606762338752,331.154356903853,0.0,1.0,12.825,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,30,273,13
2013-10-01,123.397540137977,356.816079467772,135.614594111775,67.6549909234488,351.590991371398,0.0,0.0,12.9125,13,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,274,13
2013-10-02,196.720969158391,423.68817353922697,156.465804020451,119.81312752620701,322.880300414914,0.0,1.0,12.7,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,275,13
2013-10-03,75.2337302417469,592.567211256288,192.293311340733,148.994652688514,440.898116086485,0.0,0.0,11.7625,12,5.0,Tag der deutschen Einheit,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,3,276,13
2013-10-04,156.066122625816,501.34794878572603,179.301551909794,74.562061444226,280.756383513395,0.0,5.0,11.2,8,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,277,13
2013-10-05,152.280762053885,532.496621420318,225.91006672743902,66.2032518834826,326.99316491383803,0.0,7.0,15.575,8,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,5,278,13
2013-10-06,92.4805772695364,534.5971849903569,225.34681983136397,129.95219987295098,340.701203063945,0.0,7.0,15.25,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,6,279,13
2013-10-07,124.841544023845,372.45230181374296,146.80201055568,70.2008226210611,318.48166059826804,0.0,1.0,16.275,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,280,13
2013-10-08,96.86710097883899,324.616615610371,179.71807625926002,73.20798319603509,245.656923063522,0.0,6.0,15.1125,8,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,8,281,13
2013-10-09,149.761758936995,369.540618454844,153.104643981133,101.89268955385799,260.831242292014,0.0,7.0,14.3125,10,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,282,13
2013-10-10,119.30028497214501,349.14949088175103,157.49145307809601,70.9668372971161,266.156733546376,0.0,5.0,10.975,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,10,283,13
2013-10-11,123.2348187168,349.11297780211504,166.021960265633,75.3024074738754,229.072309397699,0.0,7.0,13.8625,20,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,11,284,13
2013-10-12,140.262421715801,425.070804590291,204.748697582742,85.83394678525491,273.221595297806,0.0,8.0,13.025,21,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,12,285,13
2013-10-13,42.99679262681111,452.275706400622,187.165299913108,149.25084502852,248.35776295088903,0.0,5.0,10.8625,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,13,286,13
2013-10-14,109.86374427122601,328.255116835268,155.668175429767,52.4609987818665,270.41971887630797,0.0,2.0,12.525,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,287,13
2013-10-15,130.431802598324,354.88541494446406,127.28423758159201,93.0578771174161,219.941750803178,0.0,7.0,10.6625,4,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,15,288,13
2013-10-16,146.070583461057,324.757529273156,143.148086490441,91.15159146264669,288.91825808676003,0.0,8.0,12.275,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,16,289,13
2013-10-17,89.9411837855476,324.982641344802,138.523531007126,85.6188586141792,244.428871611246,0.0,7.0,12.0,15,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17,290,13
2013-10-18,111.233698203856,321.70990029732997,154.060413787211,65.0176982906717,295.076856315502,0.0,1.0,9.075,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,18,291,13
2013-10-19,121.590860465012,379.77740924870005,218.403804936665,61.58908061523599,281.559213676245,0.0,7.0,9.45,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,19,292,13
2013-10-20,70.1419855298474,437.66111375147995,184.738688804128,124.018841960182,229.516910132085,0.0,7.0,15.1875,8,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,20,293,13
2013-10-21,122.987868193302,312.390458346719,158.600060112572,71.2443638417337,187.56277760407602,0.0,7.0,14.2625,8,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,herbstferien,1,0,0,0,0,0,0,10,21,294,13
2013-10-22,111.927088663048,367.73162863861097,124.349835290535,96.9923094777322,255.79361376724302,0.0,2.0,17.6375,7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,herbstferien,1,0,0,0,0,0,1,10,22,295,13
2013-10-23,125.81601621017799,339.19102670308104,127.206231759846,94.66387619982109,271.192325022255,0.0,6.0,17.675,9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,herbstferien,1,0,0,0,0,0,2,10,23,296,13
2013-10-24,123.163406361057,347.147339698928,156.231332746406,95.9995140166535,246.175469323983,41.813038417676104,5.0,12.6875,12,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,herbstferien,1,0,0,0,0,0,3,10,24,297,13
