date,sales_brot,sales_broetchen,sales_croissant,sales_konditorei,sales_kuchen,sales_saisonbrot,bewoelkung,temperatur,windgeschwindigkeit,wettercode,kielerwoche,holiday,holiday_1_weihnachtstag,holiday_2_weihnachtstag,holiday_christi_himmelfahrt,holiday_karfreitag,holiday_neujahr,holiday_ostermontag,holiday_pfingstmontag,holiday_reformationstag,holiday_tag_der_arbeit,holiday_tag_der_deutschen_einhei,school_holiday,school_holiday_herbstferien,school_holiday_osterferien,school_holiday_pfingstferien,school_holiday_sommerferien,school_holiday_weihnachtsferien,weekday,month,day,year,holiday_total
"2013-07-11,138.5494,569.1094,234.6581,68.63303,315.9117,0,0,21.375,12,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,3,7,11,11,0"
"2013-07-12,101.4475,600.2679,290.1991,0,362.8025,0,0,20.2875,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,4,7,12,12,0"
"2013-07-13,141.2333,747.1407,340.0466,74.27448,359.1662,0,1,20.125,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,5,7,13,13,0"
"2013-07-14,112.5244,777.0488,320.6268,115.2716,461.0821,0,5,17.6875,15,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,6,7,14,14,0"
"2013-07-15,161.2647,596.9951,243.5264,99.49353,380.6837,0,6,18.7375,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,0,7,15,15,0"
"2013-07-16,116.8214,558.7971,287.4155,91.7797,320.4353,0,1,21.1875,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,1,7,16,16,0"
"2013-07-17,150.5729,628.3257,301.7774,0,396.9942,0,5,22.5125,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,2,7,17,17,0"
"2013-07-18,101.9007,647.8223,250.4266,89.20584,300.3988,0,1,23.25,11,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,3,7,18,18,0"
"2013-07-19,161.6351,646.7889,287.1883,62.06361,369.4004,0,3,22.475,16,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,4,7,19,19,0"
"2013-07-20,134.3281,843.0513,394.7657,69.937,346.154,0,0,23.1875,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,5,7,20,20,0"
"2013-07-21,66.28876,815.9423,346.6582,82.68269,287.4438,0,0,26.375,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,6,7,21,21,0"
"2013-07-22,131.224,647.6827,297.7126,99.33539,356.4841,0,0,26.1,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,0,7,22,22,0"
"2013-07-23,110.3152,691.0436,323.3014,70.529,316.2968,0,0,24.95,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,1,7,23,23,0"
"2013-07-24,141.8919,698.3409,328.0231,83.58163,327.3394,0,3,24.075,11,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,2,7,24,24,0"
"2013-07-25,167.7012,681.2508,280.8097,65.8903,303.1925,0,2,23.0875,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,3,7,25,25,0"
"2013-07-26,147.2721,718.0167,352.2939,53.19846,331.5221,0,3,27.2625,6,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,4,7,26,26,0"
"2013-07-27,161.4034,855.6191,382.9659,0,358.8927,0,1,26.1625,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,5,7,27,27,0"
"2013-07-28,86.07914,871.8026,360.0961,0,437.8248,0,4,24.8875,13,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,6,7,28,28,0"
"2013-07-29,183.5642,672.5021,356.0334,0,368.951,0,1,22.7875,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,0,7,29,29,0"
"2013-07-30,132.1116,690.1177,354.5318,0,424.0862,0,5,21.075,13,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,1,7,30,30,0"
"2013-07-31,144.7454,667.8422,321.0759,0,426.9858,0,5,20.275,16,65,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,2,7,31,31,0"
"2013-08-01,157.854,667.2137,304.8303,60.56146,322.2943,0,6,23.4,7,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,3,8,1,1,0"
"2013-08-02,117.3593,689.6951,379.5267,68.1222,282.3715,0,0,31.4375,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,4,8,2,2,0"
"2013-08-03,186.0272,930.8017,454.7058,51.275,399.2833,0,4,23.3625,11,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""sommerferien"",0,0,0,1,0,5,8,3,3,0"
"2013-08-04,104.7082,862.7524,382.8565,67.15688,461.7048,0,3,23.05,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,8,4,4,0"
"2013-08-05,146.7753,520.9472,331.6154,0,354.2473,0,0,25.8,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,8,5,5,0"
"2013-08-06,131.9563,498.921,344.1048,69.70536,441.5215,0,5,22.225,13,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,8,6,6,0"
"2013-08-07,160.5934,519.1972,341.4836,83.10941,423.8503,0,4,19.2125,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,8,7,7,0"
"2013-08-08,153.0994,486.2551,298.0055,96.77209,464.8754,0,7,16.975,12,20,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,8,8,8,0"
"2013-08-09,125.6203,539.9752,328.2299,81.48178,450.086,0,4,20.3375,10,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,8,9,9,0"
"2013-08-10,185.1772,614.5118,351.617,59.98111,450.9933,0,7,19.3625,12,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,8,10,10,0"
"2013-08-11,73.20883,666.9113,341.033,60.70879,583.4917,0,7,16.3875,9,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,8,11,11,0"
"2013-08-12,154.5047,510.0191,253.6234,97.74062,356.0263,0,7,16.45,11,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,8,12,12,0"
"2013-08-13,134.0645,535.4032,271.5913,113.8636,344.6435,0,3,16.4,16,95,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,8,13,13,0"
"2013-08-14,156.9725,520.1236,309.1163,105.5679,441.2531,0,4,18.2625,18,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,8,14,14,0"
"2013-08-15,164.7638,538.2313,266.5754,59.7561,416.61,0,3,19.8,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,8,15,15,0"
"2013-08-16,147.798,552.1537,241.769,75.25646,344.4686,0,4,23.575,11,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,8,16,16,0"
"2013-08-17,221.6304,583.6574,280.17,96.52931,519.8349,0,6,20.55,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,8,17,17,0"
"2013-08-18,92.48978,669.1862,282.5998,150.1224,479.4995,0,7,18.5875,10,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,8,18,18,0"
"2013-08-19,145.8791,499.9125,249.3912,107.408,374.2471,0,5,18.4875,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,8,19,19,0"
"2013-08-20,111.8424,478.7303,257.6208,64.50226,340.0904,0,7,17.775,8,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,8,20,20,0"
"2013-08-21,125.3365,440.8156,271.1335,65.92101,352.6953,0,5,20.125,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,8,21,21,0"
"2013-08-22,132.9164,497.7313,229.3234,111.1443,343.3489,0,4,21.6625,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,8,22,22,0"
"2013-08-23,162.959,503.6721,260.9262,94.22729,375.3176,0,1,22.0375,14,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,8,23,23,0"
"2013-08-24,201.5431,707.9443,282.4019,124.7375,536.1968,0,0,20.85,16,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,8,24,24,0"
"2013-08-25,83.02267,726.2576,360.817,141.0669,495.1943,0,0,21.3875,16,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,8,25,25,0"
"2013-08-26,165.829,451.5367,244.9364,104.4489,368.7258,0,0,20.125,15,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,8,26,26,0"
"2013-08-27,118.4736,442.3184,251.053,89.33981,305.772,0,1,21.0875,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,8,27,27,0"
"2013-08-28,108.877,418.2979,225.8782,87.51604,349.391,0,0,21.3,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,8,28,28,0"
"2013-08-29,178.178,386.3903,198.7764,67.17513,396.4546,0,3,20.2125,11,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,8,29,29,0"
"2013-08-30,133.1508,492.1413,184.2523,77.93531,343.3457,0,6,19.7875,8,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,8,30,30,0"
"2013-08-31,130.8213,581.4905,265.4108,86.00773,344.0966,0,5,18.35,16,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,8,31,31,0"
"2013-09-01,95.97043,481.5848,239.5451,139.777,400.3752,0,7,15.8625,16,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,9,1,1,0"
"2013-09-02,138.4087,350.0234,165.8848,97.55773,236.0824,0,7,16.575,17,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,9,2,2,0"
"2013-09-03,138.8256,357.4013,174.6555,66.70422,270.3501,0,7,18.225,11,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,9,3,3,0"
"2013-09-04,100.222,362.2494,162.8374,102.37,308.6705,0,7,18.125,5,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,9,4,4,0"
"2013-09-05,173.6581,400.9501,155.7955,64.7181,309.0222,0,0,21.7,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,9,5,5,0"
"2013-09-06,171.4152,395.6733,183.3728,79.67169,307.0194,0,0,24.7,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,9,6,6,0"
"2013-09-07,186.0341,591.5236,215.339,65.01282,447.9918,0,6,22.7625,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,9,7,7,0"
"2013-09-08,88.89259,576.0407,261.7239,115.8689,453.7923,0,7,20.1625,8,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,9,8,8,0"
"2013-09-09,169.36,331.9813,155.699,78.43214,266.7402,0,8,11.575,11,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,9,9,9,0"
"2013-09-10,89.69445,363.6678,186.6319,75.32074,272.0858,0,6,13.5875,11,65,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,9,10,10,0"
"2013-09-11,103.3637,350.8138,156.9938,84.17437,266.2838,0,6,13.9,8,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,9,11,11,0"
"2013-09-12,106.4744,354.2826,128.9575,79.90691,291.2971,0,6,16.1125,6,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,9,12,12,0"
"2013-09-13,122.5646,413.0419,142.4509,60.04238,306.3134,0,6,17.4375,5,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,9,13,13,0"
"2013-09-14,174.9388,530.8251,230.5242,68.63168,383.0834,0,5,17.625,10,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,9,14,14,0"
"2013-09-15,55.19601,494.9082,199.5258,150.9471,368.2355,0,7,14.8625,10,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,9,15,15,0"
"2013-09-16,146.7602,363.7019,150.4581,68.50949,230.6534,0,3,13.1375,13,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,9,16,16,0"
"2013-09-17,136.118,321.0549,121.6014,88.04324,320.5265,0,5,13.1375,10,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,9,17,17,0"
"2013-09-18,152.2551,327.4137,123.4305,81.92332,273.5408,0,4,13.05,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,9,18,18,0"
"2013-09-19,148.675,362.2737,127.5954,56.2795,300.2624,0,5,14.8375,11,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,9,19,19,0"
"2013-09-20,110.1592,375.1683,119.9956,87.49527,377.4035,0,7,13.525,6,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,9,20,20,0"
"2013-09-21,178.2639,525.0141,227.1781,48.27822,320.9601,0,7,15.35,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,9,21,21,0"
"2013-09-22,86.6669,500.5796,216.0256,181.0718,359.9954,0,6,17.1375,14,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,9,22,22,0"
"2013-09-23,111.1284,339.4177,115.174,72.8639,293.8818,0,7,17.3125,14,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,9,23,23,0"
"2013-09-24,139.6414,314.0047,107.5153,91.91097,261.6018,0,8,15.7375,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,9,24,24,0"
"2013-09-25,117.9412,333.9647,133.4554,83.27544,298.2843,0,6,13.5375,7,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,9,25,25,0"
"2013-09-26,203.3143,348.8625,111.3314,52.94188,287.7935,0,1,12.9875,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,9,26,26,0"
"2013-09-27,135.5073,337.8947,102.1879,93.94407,283.2061,0,5,13.0125,8,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,9,27,27,0"
"2013-09-28,134.6138,578.1569,247.9958,98.43758,290.8489,0,0,13.1,8,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,9,28,28,0"
"2013-09-29,68.63169,503.1552,194.9861,148.9391,304.8305,0,3,14.175,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,9,29,29,0"
"2013-09-30,156.5024,360.8271,141.9929,98.18607,331.1544,0,1,12.825,14,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,9,30,30,0"
"2013-10-01,123.3975,356.8161,135.6146,67.65499,351.591,0,0,12.9125,13,5,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,10,1,1,0"
"2013-10-02,196.721,423.6882,156.4658,119.8131,322.8803,0,1,12.7,10,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,10,2,2,0"
"2013-10-03,75.23373,592.5672,192.2933,148.9947,440.8981,0,0,11.7625,12,5,0,""Tag der deutschen Einheit"",0,0,0,0,0,0,0,0,0,1,""0"",0,0,0,0,0,3,10,3,3,0"
"2013-10-04,156.0661,501.348,179.3016,74.56207,280.7564,0,5,11.2,8,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,10,4,4,0"
"2013-10-05,152.2808,532.4966,225.9101,66.20325,326.9932,0,7,15.575,8,20,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,10,5,5,0"
"2013-10-06,92.48058,534.5972,225.3468,129.9522,340.7012,0,7,15.25,6,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,10,6,6,0"
"2013-10-07,124.8415,372.4523,146.802,70.20082,318.4817,0,1,16.275,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,10,7,7,0"
"2013-10-08,96.8671,324.6166,179.7181,73.20798,245.6569,0,6,15.1125,8,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,10,8,8,0"
"2013-10-09,149.7618,369.5406,153.1046,101.8927,260.8312,0,7,14.3125,10,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,10,9,9,0"
"2013-10-10,119.3003,349.1495,157.4915,70.96684,266.1567,0,5,10.975,6,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,10,10,10,0"
"2013-10-11,123.2348,349.113,166.022,75.30241,229.0723,0,7,13.8625,20,10,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,10,11,11,0"
"2013-10-12,140.2624,425.0708,204.7487,85.83395,273.2216,0,8,13.025,21,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,10,12,12,0"
"2013-10-13,42.99679,452.2757,187.1653,149.2508,248.3578,0,5,10.8625,5,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,10,13,13,0"
"2013-10-14,109.8637,328.2551,155.6682,52.461,270.4197,0,2,12.525,6,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,10,14,14,0"
"2013-10-15,130.4318,354.8854,127.2842,93.05788,219.9418,0,7,10.6625,4,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,10,15,15,0"
"2013-10-16,146.0706,324.7575,143.1481,91.15159,288.9182,0,8,12.275,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,10,16,16,0"
"2013-10-17,89.94118,324.9826,138.5235,85.61886,244.4289,0,7,12,15,65,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,10,17,17,0"
"2013-10-18,111.2337,321.7099,154.0604,65.0177,295.0768,0,1,9.075,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,10,18,18,0"
"2013-10-19,121.5909,379.7774,218.4038,61.58908,281.5592,0,7,9.45,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,10,19,19,0"
"2013-10-20,70.14198,437.6611,184.7387,124.0188,229.5169,0,7,15.1875,8,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,10,20,20,0"
"2013-10-21,122.9879,312.3905,158.6001,71.24436,187.5628,0,7,14.2625,8,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,0,10,21,21,0"
"2013-10-22,111.9271,367.7316,124.3498,96.99231,255.7936,0,2,17.6375,7,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,1,10,22,22,0"
"2013-10-23,125.816,339.191,127.2062,94.66388,271.1923,0,6,17.675,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,2,10,23,23,0"
"2013-10-24,123.1634,347.1473,156.2313,95.99951,246.1755,41.81304,5,12.6875,12,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,3,10,24,24,0"
"2013-10-25,113.6619,331.5319,160.5911,70.05324,262.4797,16.41088,7,11.8875,7,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,4,10,25,25,0"
"2013-10-26,161.6788,403.1764,189.2422,63.04058,260.813,18.57446,5,16.775,10,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,5,10,26,26,0"
"2013-10-27,102.3552,541.8679,190.7127,186.5376,292.4525,24.64008,6,14.9875,16,65,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,6,10,27,27,0"
"2013-10-28,129.4822,358.4739,133.3361,74.32384,196.8419,0,7,14.3625,29,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,0,10,28,28,0"
"2013-10-29,112.2859,343.3826,140.4857,74.7359,194.0504,43.51537,7,10.775,17,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,1,10,29,29,0"
"2013-10-30,121.5061,315.5218,130.0664,48.10841,295.2669,38.89427,6,10.4375,10,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,2,10,30,30,0"
"2013-10-31,133.7235,297.2511,131.888,85.51714,242.1529,16.8023,5,11.1625,13,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,3,10,31,31,0"
"2013-11-01,100.1822,336.0182,131.5955,91.34243,273.3703,48.6054,8,10.625,9,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,4,11,1,1,0"
"2013-11-02,149.1723,433.4115,196.156,60.83493,225.6609,70.13094,8,8.8875,3,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""herbstferien"",1,0,0,0,0,5,11,2,2,0"
"2013-11-03,97.45328,549.6201,170.033,128.4731,250.8346,34.25804,6,10.7,15,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,11,3,3,0"
"2013-11-04,137.8643,269.386,127.2683,0,243.4807,17.87442,7,6.8375,7,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,11,4,4,0"
"2013-11-05,103.7003,247.5017,103.887,74.29465,189.3163,41.71399,4,8.9,12,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,11,5,5,0"
"2013-11-06,109.097,273.9522,79.08899,64.02869,193.0376,50.51859,4,8.1375,12,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,11,6,6,0"
"2013-11-07,118.4706,276.671,122.7454,67.2859,225.6841,50.22662,6,9.5,10,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,11,7,7,0"
"2013-11-08,132.7962,270.9352,101.7719,65.31541,208.9319,53.51925,3,9.325,9,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,4,11,8,8,0"
"2013-11-09,99.93179,391.2574,136.2876,63.02325,221.2318,51.12975,5,7.7,16,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,5,11,9,9,0"
"2013-11-10,108.5617,554.3588,190.9639,176.5221,338.8937,39.73778,2,6.9875,12,63,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,6,11,10,10,0"
"2013-11-11,124.5805,277.9109,120.1626,76.17066,242.6816,62.36055,2,8.3125,5,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,0,11,11,11,0"
"2013-11-12,111.9709,257.3065,107.2532,49.01559,196.4579,41.35703,7,5.9375,9,61,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,1,11,12,12,0"
"2013-11-13,78.03825,253.6795,119.8678,65.84427,243.0671,65.06169,1,8.8,12,0,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,2,11,13,13,0"
"2013-11-14,121.1802,252.6723,69.83613,57.5383,209.0512,44.83536,5,6.9375,9,21,0,""0"",0,0,0,0,0,0,0,0,0,0,""0"",0,0,0,0,0,3,11,14,14,0"
